fseqno,timestamp,car_count,inf_latency,model,gpu_util,gpu_power,network,gpu_mem,cpu_power,cpu_util,cpu_mem
27,1738074631,9.0,0.0242080688476562,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
28,1738074631,10.0,0.022754430770874,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
29,1738074632,8.0,0.0131664276123046,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
30,1738074632,8.0,0.0046329498291015,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
31,1738074632,9.0,0.0033645629882812,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
32,1738074632,8.0,0.0033202171325683,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
33,1738074632,9.0,0.0031609535217285,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
34,1738074632,8.0,0.0032582283020019,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
35,1738074632,8.0,0.0034425258636474,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
36,1738074632,8.0,0.0031449794769287,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
37,1738074632,9.0,0.0033910274505615,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
38,1738074632,8.0,0.003406286239624,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
39,1738074632,8.0,0.0031309127807617,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
40,1738074632,8.0,0.0034425258636474,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
41,1738074632,8.0,0.0145120620727539,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
42,1738074632,8.0,0.0029115676879882,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
43,1738074632,10.0,0.0036399364471435,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
44,1738074632,10.0,0.0036377906799316,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
45,1738074632,8.0,0.0034425258636474,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
46,1738074633,10.0,0.0038082599639892,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
47,1738074633,9.0,0.0049901008605957,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
48,1738074633,9.0,0.0037803649902343,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
49,1738074633,9.0,0.0038752555847167,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
50,1738074633,9.0,0.0033590793609619,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
51,1738074633,10.0,0.0033221244812011,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
52,1738074633,8.0,0.0034341812133789,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
53,1738074633,9.0,0.0037689208984375,yolov8n,1.0,39.0,0.0,0.0,57.891048,253.5768472,16935.378
