fseqno,timestamp,car_count,inf_latency,model,gpu_util,gpu_power,network,gpu_mem,cpu_power,cpu_util,cpu_mem
8414,1738078356,13,0.0053198337554931,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8415,1738078356,12,0.005709171295166,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8416,1738078356,12,0.0057413578033447,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8417,1738078356,12,0.0058624744415283,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8418,1738078357,11,0.0060179233551025,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8419,1738078357,13,0.0054059028625488,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8420,1738078357,13,0.0056581497192382,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8421,1738078357,11,0.0054821968078613,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8422,1738078357,12,0.0052497386932373,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8423,1738078357,14,0.0057640075683593,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8424,1738078357,12,0.0054500102996826,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8425,1738078357,12,0.0059640407562255,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8426,1738078357,11,0.0065538883209228,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8427,1738078357,11,0.0054121017456054,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8428,1738078357,10,0.0055394172668457,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8429,1738078357,11,0.0059499740600585,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8430,1738078357,10,0.005613088607788,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8431,1738078357,12,0.0053179264068603,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8432,1738078357,14,0.0054538249969482,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8433,1738078358,13,0.0056021213531494,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8434,1738078358,14,0.006584882736206,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8435,1738078358,12,0.005774974822998,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8436,1738078358,16,0.0065982341766357,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8437,1738078358,15,0.0060992240905761,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8438,1738078358,15,0.0054686069488525,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
8439,1738078358,15,0.0057082176208496,yolov8m,4.0,42.0,161644.0,1.0,58.898064000000005,223.2807067,16537.7179
